Full Quote,Source
"""Ladies. Gentlemen. You have eaten well. You have eaten Gotham's wealth. Its spirit. Your feast is nearly over. From this moment on -- none of you are safe.""",Batman #405 (1987)
"""You're wrong! Batman and Robin will never die!""",Batman #676 (June 2008)
"""But that's the thing about Batman. Batman thinks of everything""",Batman #681 (December 2008) by Grant Morrison and Tony S. Daniel
"""A hero can be anyone. Even a man doing something as simple and reassuring as putting a coat around a young boy's shoulders to let him know that the world hadn't ended.""",The Dark Knight Rises (2012)
"""I'm Batman.""",Batman (1989)
"""I think we can take them. Do you think we can take them?""",Superman/Batman #3 (2003)
"""Every damn night. And yet... I’m still here.”",Batman (Vol. 3) #20 (2017)
"""I’m the goddamn Batman.”","All-Star Batman and Robin, the Boy Wonder #2 (2005)"
"""If you are good, the shadow's wings are a welcome, protective blanket.""",Batman/Poison Ivy: Cast Shadows (2004)
"“I wear a mask. And that mask, it’s not to hide who I am, but to create what I am.”",Batman #624 (2004)
"""I've put out a few fires, yes. Won a few battles. But the war goes on, Alfred... on and on...""","Batman: The Animated Series, 2x21: ""I Am The Night"" (1992)"
"""The idea was to be a symbol. Batman could be anybody, that was the point.""",The Dark Knight Rises (2012)
"“Maybe that's what Batman is about. Not winning. But failing, and getting back up. Knowing he'll fail, fail a thousand times, but still won't give up.""",Batman (Vol. 2) #32 (2014)
"""You can never escape me. Bullets don't harm me. Nothing harms me. But I know pain.""",Batman #407 (1987)
"""The voice kept calling me Bruce. In my mind, that's not what I call myself.""","Batman Beyond, 1x07: ""Shriek"" (1999)"
"“No miracles. No mercy. No redemption. No heaven. No hell. No higher power. Just life. Just... us.""",Batman: Absolution (2003)
"""You either die a hero or you live long enough to see yourself become the villain.""",The Dark Knight (2008)
"""Sometimes the truth isn't good enough, sometimes people deserve more. Sometimes people deserve to have their faith rewarded.""",The Dark Knight (2008)
“If I allow myself to go down into that place… I’ll never come back.”,Batman #650 (2006)
"""All men have limits. They learn what they are and learn not to exceed them. I ignore mine.""",Detective Comics #663 (1993)
“Batman punches people in the face.”,Batman (Vol. 3) #53 (2018)
"""Death is powerless against you if you leave a legacy of good behind.""",JLA #72 (2002)
"""I chose this life. I know what I'm doing.""",Identity Crisis #4 (2004)
“Criminals are a cowardly and superstitious lot.”,Detective Comics #33 (1939)
"“It’s not who I am underneath, but what I do that defines me.”",Batman Begins (2005)
"""You don't get it, boy. This isn't a mud hole. It's an operating table. And I'm the surgeon.""",Batman: The Dark Knight Returns #2 (1986)
"""Sometimes it's only madness that makes us what we are.""",Arkham Asylum: A Serious House on Serious Earth (1989)
"""When that light hits the sky, it’s not just a call. It’s a warning.""",The Batman (2022)
"""I am Vengeance. I am the night. I am Batman!""","Batman: The Animated Series, 1x10: ""Nothing to Fear"" (1992)"
"""Shut up and fight.""",Batman #647 (2006)
"""Do you wanna know something funny? Even after everything you’ve done, I would’ve saved you.""",Batman: Arkham City (2011)
"""The world only makes sense if you force it to.""",Batman: The Dark Knight #4 (1986)
"""Vengeance Won't Change The Past. Mine or anyone else's. I have to become more. People need hope.""",The Batman (2022)
"""Our scars can destroy us, even after the physical wounds have healed. But if we survive them, they can transform us. They can give us the power to endure, and the strength to fight.""",The Batman (2022)
"""Yes, father. I shall become a bat.”",Batman #404 (1987)
"""Swear to me!""",Batman Begins
"""Good grammar is essential, Robin.""",Batman (TV series)
"""Sometimes the truth isn’t good enough, sometimes people deserve more. Sometimes people deserve to have their faith rewarded.""",The Dark Knight
"""That's one trouble with dual identities, Robin. Dual responsibilities.""",Batman (TV series)
"""I'm not going to kill you. I want you to do me a favor. I want you to tell all your friends about me.""",Batman
"""As a man; I am flesh and blood; I can be ignored, I can be destroyed. But as a symbol, I can be incorruptible. I can be everlasting.""",Batman Begins
"""Not you, Robin. They have strict licensing laws in this country. A boy of your age is not allowed in a drinking tavern.""",Batman (TV series)
"""The true crimefighter always carries everything he needs in his utility belt, Robin.""",Batman (TV series)
"""She wants to kill you, Dick.""",Batman & Robin
