word,previous word,next word
ladies,,.
.,ladies,gentlemen
gentlemen,.,.
.,gentlemen,you
you,.,have
have,you,eaten
eaten,have,well
well,eaten,.
.,well,you
you,.,have
have,you,eaten
eaten,have,gotham's
gotham's,eaten,wealth
wealth,gotham's,.
.,wealth,its
its,.,spirit
spirit,its,.
.,spirit,your
your,.,feast
feast,your,is
is,feast,nearly
nearly,is,over
over,nearly,.
.,over,from
from,.,this
this,from,moment
moment,this,on
on,moment,--
--,on,none
none,--,of
of,none,you
you,of,are
are,you,safe
safe,are,.
.,safe,
you're,,wrong
wrong,you're,.
.,wrong,batman
batman,.,and
and,batman,robin
robin,and,will
will,robin,never
never,will,die
die,never,.
.,die,
but,,that's
that's,but,the
the,that's,thing
thing,the,about
about,thing,batman
batman,about,.
.,batman,batman
batman,.,thinks
thinks,batman,of
of,thinks,everything
everything,of,.
.,everything,
a,,hero
hero,a,can
can,hero,be
be,can,anyone
anyone,be,.
.,anyone,even
even,.,a
a,even,man
man,a,doing
doing,man,something
something,doing,as
as,something,simple
simple,as,and
and,simple,reassuring
reassuring,and,as
as,reassuring,putting
putting,as,a
a,putting,coat
coat,a,around
around,coat,a
a,around,young
young,a,boy's
boy's,young,shoulders
shoulders,boy's,to
to,shoulders,let
let,to,him
him,let,know
know,him,that
that,know,the
the,that,world
world,the,hadn't
hadn't,world,ended
ended,hadn't,.
.,ended,
i'm,,batman
batman,i'm,.
.,batman,
i,,think
think,i,we
we,think,can
can,we,take
take,can,them
them,take,.
.,them,do
do,.,you
you,do,think
think,you,we
we,think,can
can,we,take
take,can,them
them,take,.
.,them,
every,,damn
damn,every,night
night,damn,.
.,night,and
and,.,yet
yet,and,.
.,yet,.
.,.,.
.,.,i’m
i’m,.,still
still,i’m,here
here,still,.
.,here,
i’m,,the
the,i’m,goddamn
goddamn,the,batman
batman,goddamn,.
.,batman,
if,,you
you,if,are
are,you,good
good,are,","
",",good,the
the,",",shadow's
shadow's,the,wings
wings,shadow's,are
are,wings,a
a,are,welcome
welcome,a,","
",",welcome,protective
protective,",",blanket
blanket,protective,.
.,blanket,
i,,wear
wear,i,a
a,wear,mask
mask,a,.
.,mask,and
and,.,that
that,and,mask
mask,that,","
",",mask,it’s
it’s,",",not
not,it’s,to
to,not,hide
hide,to,who
who,hide,i
i,who,am
am,i,","
",",am,but
but,",",to
to,but,create
create,to,what
what,create,i
i,what,am
am,i,.
.,am,
i've,,put
put,i've,out
out,put,a
a,out,few
few,a,fires
fires,few,","
",",fires,yes
yes,",",.
.,yes,won
won,.,a
a,won,few
few,a,battles
battles,few,.
.,battles,but
but,.,the
the,but,war
war,the,goes
goes,war,on
on,goes,","
",",on,alfred
alfred,",",.
.,alfred,.
.,.,.
.,.,on
on,.,and
and,on,on
on,and,.
.,on,.
.,.,.
.,.,
the,,idea
idea,the,was
was,idea,to
to,was,be
be,to,a
a,be,symbol
symbol,a,.
.,symbol,batman
batman,.,could
could,batman,be
be,could,anybody
anybody,be,","
",",anybody,that
that,",",was
was,that,the
the,was,point
point,the,.
.,point,
maybe,,that's
that's,maybe,what
what,that's,batman
batman,what,is
is,batman,about
about,is,.
.,about,not
not,.,winning
winning,not,.
.,winning,but
but,.,failing
failing,but,","
",",failing,and
and,",",getting
getting,and,back
back,getting,up
up,back,.
.,up,knowing
knowing,.,he'll
he'll,knowing,fail
fail,he'll,","
",",fail,fail
fail,",",a
a,fail,thousand
thousand,a,times
times,thousand,","
",",times,but
but,",",still
still,but,won't
won't,still,give
give,won't,up
up,give,.
.,up,
you,,can
can,you,never
never,can,escape
escape,never,me
me,escape,.
.,me,bullets
bullets,.,don't
don't,bullets,harm
harm,don't,me
me,harm,.
.,me,nothing
nothing,.,harms
harms,nothing,me
me,harms,.
.,me,but
but,.,i
i,but,know
know,i,pain
pain,know,.
.,pain,
the,,voice
voice,the,kept
kept,voice,calling
calling,kept,me
me,calling,bruce
bruce,me,.
.,bruce,in
in,.,my
my,in,mind
mind,my,","
",",mind,that's
that's,",",not
not,that's,what
what,not,i
i,what,call
call,i,myself
myself,call,.
.,myself,
no,,miracles
miracles,no,.
.,miracles,no
no,.,mercy
mercy,no,.
.,mercy,no
no,.,redemption
redemption,no,.
.,redemption,no
no,.,heaven
heaven,no,.
.,heaven,no
no,.,hell
hell,no,.
.,hell,no
no,.,higher
higher,no,power
power,higher,.
.,power,just
just,.,life
life,just,.
.,life,just
just,.,.
.,just,.
.,.,.
.,.,us
us,.,.
.,us,
you,,either
either,you,die
die,either,a
a,die,hero
hero,a,or
or,hero,you
you,or,live
live,you,long
long,live,enough
enough,long,to
to,enough,see
see,to,yourself
yourself,see,become
become,yourself,the
the,become,villain
villain,the,.
.,villain,
sometimes,,the
the,sometimes,truth
truth,the,isn't
isn't,truth,good
good,isn't,enough
enough,good,","
",",enough,sometimes
sometimes,",",people
people,sometimes,deserve
deserve,people,more
more,deserve,.
.,more,sometimes
sometimes,.,people
people,sometimes,deserve
deserve,people,to
to,deserve,have
have,to,their
their,have,faith
faith,their,rewarded
rewarded,faith,.
.,rewarded,
if,,i
i,if,allow
allow,i,myself
myself,allow,to
to,myself,go
go,to,down
down,go,into
into,down,that
that,into,place…
place…,that,i’ll
i’ll,place…,never
never,i’ll,come
come,never,back
back,come,.
.,back,
all,,men
men,all,have
have,men,limits
limits,have,.
.,limits,they
they,.,learn
learn,they,what
what,learn,they
they,what,are
are,they,and
and,are,learn
learn,and,not
not,learn,to
to,not,exceed
exceed,to,them
them,exceed,.
.,them,i
i,.,ignore
ignore,i,mine
mine,ignore,.
.,mine,
batman,,punches
punches,batman,people
people,punches,in
in,people,the
the,in,face
face,the,.
.,face,
death,,is
is,death,powerless
powerless,is,against
against,powerless,you
you,against,if
if,you,you
you,if,leave
leave,you,a
a,leave,legacy
legacy,a,of
of,legacy,good
good,of,behind
behind,good,.
.,behind,
i,,chose
chose,i,this
this,chose,life
life,this,.
.,life,i
i,.,know
know,i,what
what,know,i'm
i'm,what,doing
doing,i'm,.
.,doing,
criminals,,are
are,criminals,a
a,are,cowardly
cowardly,a,and
and,cowardly,superstitious
superstitious,and,lot
lot,superstitious,.
.,lot,
it’s,,not
not,it’s,who
who,not,i
i,who,am
am,i,underneath
underneath,am,","
",",underneath,but
but,",",what
what,but,i
i,what,do
do,i,that
that,do,defines
defines,that,me
me,defines,.
.,me,
you,,don't
don't,you,get
get,don't,it
it,get,","
",",it,boy
boy,",",.
.,boy,this
this,.,isn't
isn't,this,a
a,isn't,mud
mud,a,hole
hole,mud,.
.,hole,it's
it's,.,an
an,it's,operating
operating,an,table
table,operating,.
.,table,and
and,.,i'm
i'm,and,the
the,i'm,surgeon
surgeon,the,.
.,surgeon,
sometimes,,it's
it's,sometimes,only
only,it's,madness
madness,only,that
that,madness,makes
makes,that,us
us,makes,what
what,us,we
we,what,are
are,we,.
.,are,
when,,that
that,when,light
light,that,hits
hits,light,the
the,hits,sky
sky,the,","
",",sky,it’s
it’s,",",not
not,it’s,just
just,not,a
a,just,call
call,a,.
.,call,it’s
it’s,.,a
a,it’s,warning
warning,a,.
.,warning,
i,,am
am,i,vengeance
vengeance,am,.
.,vengeance,i
i,.,am
am,i,the
the,am,night
night,the,.
.,night,i
i,.,am
am,i,batman
batman,am,.
.,batman,
shut,,up
up,shut,and
and,up,fight
fight,and,.
.,fight,
do,,you
you,do,wanna
wanna,you,know
know,wanna,something
something,know,funny
funny,something,.
.,funny,even
even,.,after
after,even,everything
everything,after,you’ve
you’ve,everything,done
done,you’ve,","
",",done,i
i,",",would’ve
would’ve,i,saved
saved,would’ve,you
you,saved,.
.,you,
the,,world
world,the,only
only,world,makes
makes,only,sense
sense,makes,if
if,sense,you
you,if,force
force,you,it
it,force,to
to,it,.
.,to,
vengeance,,won't
won't,vengeance,change
change,won't,the
the,change,past
past,the,.
.,past,mine
mine,.,or
or,mine,anyone
anyone,or,else's
else's,anyone,.
.,else's,i
i,.,have
have,i,to
to,have,become
become,to,more
more,become,.
.,more,people
people,.,need
need,people,hope
hope,need,.
.,hope,
our,,scars
scars,our,can
can,scars,destroy
destroy,can,us
us,destroy,","
",",us,even
even,",",after
after,even,the
the,after,physical
physical,the,wounds
wounds,physical,have
have,wounds,healed
healed,have,.
.,healed,but
but,.,if
if,but,we
we,if,survive
survive,we,them
them,survive,","
",",them,they
they,",",can
can,they,transform
transform,can,us
us,transform,.
.,us,they
they,.,can
can,they,give
give,can,us
us,give,the
the,us,power
power,the,to
to,power,endure
endure,to,","
",",endure,and
and,",",the
the,and,strength
strength,the,to
to,strength,fight
fight,to,.
.,fight,
yes,,","
",",yes,father
father,",",.
.,father,i
i,.,shall
shall,i,become
become,shall,a
a,become,bat
bat,a,.
.,bat,
swear,,to
to,swear,me
me,to,.
.,me,
good,,grammar
grammar,good,is
is,grammar,essential
essential,is,","
",",essential,robin
robin,",",.
.,robin,
that's,,one
one,that's,trouble
trouble,one,with
with,trouble,dual
dual,with,identities
identities,dual,","
",",identities,robin
robin,",",.
.,robin,dual
